Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,FA-SC-DX-ZR-MF-BU,"OF ADAPTER-SC,DX,MM,ZRC", $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-SC-DX-ZR-MF-GN,"OF ADAPTER-SC,DX,MM,ZRC", $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-SC-DX-ZR-NF-AQ,SC Dplx Adapter OM3 Flangeless, $9.00 , $4.19 ,54%, $4.89 ,46%, $4.93 ,US,1 Year
Signamax,FA-SC-DX-ZR-NF-BU,"OF ADAPTER-SC,DX,SM,ZRC", $5.50 , $2.56 ,54%, $2.99 ,46%, $3.01 ,US,1 Year
Signamax,FA-SC-DX-ZR-NF-GN,"OF ADAPTER-SC,DX,MM,ZRC", $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-SCS02-B,SC Simplex MM Adapter, $2.00 , $0.93 ,54%, $1.09 ,46%, $1.10 ,US,1 Year
Signamax,FA-SCS03-A,SC Simplex MM Adapter, $2.90 , $1.35 ,54%, $1.58 ,46%, $1.59 ,US,1 Year
Signamax,FA-SCS03-BU,"OF ADAPTER, SC, SX, SM, ZR", $2.90 , $1.35 ,54%, $1.58 ,46%, $1.59 ,US,1 Year
Signamax,FA-SCS04-GN,SC APC Simplex SM Adapter, $2.90 , $1.35 ,54%, $1.58 ,46%, $1.59 ,US,1 Year
Signamax,FA-SC-SX-PB-MF-BE,"OF ADAPTER-SC,SX,MM,PHR,BRZ", $2.90 , $1.35 ,54%, $1.58 ,46%, $1.59 ,US,1 Year
